id,keywords,year
187,"Stand,Fürst,Repräsentationsbild,Treue,Jagd,Pferdesport,Kostüm,Ideallandschaft,Staffage,Adel",1660
213,"Sünde,Sündenfall,Garten Eden,Altes Testament,Neues Testament,Heilsordnung,Grabstein,Denkmal,Friedhof,Tod,Leben,Allegorie,Personifikation,Styx,Erleuchtung,Erscheinung,Erlösung,Christentum,Frömmigkeit,Religiösität,Glaube,Andacht,Hoffnung,Trauer,Symbolik,Bestattung,Hirte,Heilung,Krankheit (Mensch),Rettung,Vanitas,Memento mori,Vergänglichkeit,Auferstehung",1670
279,"Spitze,Amtstracht,Deutschland,Franken,Leder,Frankreich,Mode,Kostüm,Lothringen,Seide",1570
292,"Niederlande,Sozialstatus,Mode,Blickkontakt,Reichtum,Repräsentation,Lächeln,Seide",1620
442,"Tabak,Zinn,Genuss,Adel,Reichtum,Selbstporträt,Künstlerporträt,Laster,Vanitas,Alkohol,Mode,Kostüm,Choleriker,Maßlosigkeit,Lebensweise",1630
464,"Antwerpen,Sankt Augustinus (Antwerpen),Märtyrerin,Königstochter,Zypern,Vermählung,Nothelfer,Jungfrau,Schutzpatronin,Christentum,Vision,Traum,Erstaunen",1620
482,"Flachrelief,Stein,Marmor,Sarkophag,Antike,Dekoration,Pfeil (Waffe),Himmel (Religion),Erde (Planet),Liebe,Jahreszeit,Baumstamm,Bühne,Kampf,Spiel,Kopie,Klassizismus,Sieg,Szene",1750
507,"Sonnenuntergang,Reise,Handel,Stadt,Hafen,Bauernhaus,See,Fluss,Kanal,Fischer,Goldenes Zeitalter (Niederlande),Regatta,Mondlicht,Lichtführung,Zwielicht,Naturschauspiel,Fluchtpunkt",1660
532,"Gastwirtin,Schankmagd,Aschenbecher,Bauer,Bäuerlichkeit,Belästigung,Ablehnung,Trunkenheit,Schmutz,Alltag,Wirtshaus,Alkohol,Haarlem,Zwielicht,Napf,Sexueller Übergriff",1660
536,"Messe (Wirtschaft),Händler,Handel,Kreuzgang,Fresko,Marktstand,Markt,Verkäufer,Goldenes Zeitalter (Niederlande),Sänger,Notenblatt",1670
540,"Marmor,Spinne,Vanitas,Duft,Niederlande,Barock,Kunstkammer,Den Haag",1690
555,"Campagna Romana,Latium,Italien,Sabiner Berge,Albaner Berge,Rom,Forum Romanum (Rom),Ideallandschaft,Idylle,Tempel,Tempel des Vespasian (Rom),Heiligtum,Vergänglichkeit,Bauer,Familie,Schäfer,Hirtin,Hirtenfamilie,Naturalismus,Reise,Studienreise,Alltag,Staffage,Landleben,Kulisse,Arkadien,Sehnsucht,Fernweh,Antike,Marmor",1670
586,"Tieropfer,Burg,Schloss,Rokoko,Freizeit,Vergnügen,Adel,Zeitvertreib,Greyhound,Windhund,Sport,Handwerk,Holland,Rebhuhn",1780
587,"Handel,Rokoko,Freizeit,Vergnügen,Adel,Zeitvertreib,Sport,Geschäftigkeit,Reise,Bauernhof,Dorf",1780
590,"Burg,Renaissance,Renaissance,Kastell,Mittelalter,Burggraben,Wehrturm,Wächter,Lanze,Magd,Familie,Angler,Fischer,Sommer,Kanal,Patrizier,Ufer,Staffage",1660
606,"Samt,Ritter,Tugend,Barock,Verführung,Repräsentation,Sehnsucht,Romantik (Liebe),Minnesang,Verliebtheit,Adel,Seide",1660
617,"Nereide,Satyr,Gänseblümchen,Salamander,Nische,Antike,Klassizismus,Barock,Füllhorn,Duft,Marmor,Vergänglichkeit,Sockel,Tischplatte,Flussgott,Vanitas,Frühling,Sommer,Kunstkammer,Niederlande,Amsterdam,Frau",1670
625,"Schönheit,Geliebte,Schwangerschaft,Sternbild,Großer Bär (Sternbild),Arkadien,Idylle,Ideallandschaft,Scham,Jagd,Verführung,Demut,Vergewaltigung,Antike",1630
641,"Prostitution,Alkohol,Versuchung,Trunkenheit,Armut,Schmutz,Bäuerlichkeit,Alltag,Weltflucht,Bordell",1660
647,"Aussicht,Licht,Schatten,Kontrast,Verfallsprozess,Vergänglichkeit,Landleben,Arbeit,Italien,Toskana,Ideallandschaft,Schäfer",1670
663,"Wind,Sturm,Hirte,Bauer,Bäuerin,Arbeit,Erdatmosphäre,Atmosphäre,Wetter,Narrativität,Weite,Ideallandschaft,Arkadien,Rhein,Idylle,Fluss,Stadt",1660
664,"Ideallandschaft,Sonnenuntergang,Abenddämmerung,Hirte,Hirtenstab,Gewitter,Wind,Italien,Ruine,Kulisse,Liebespaar,Fantasie,Staffage",1660
703,"Niederlande,Patrizier,Damast,Fächer,Staubwedel,Regentin,Repräsentation,Stolz,Konzentration (Psychologie),Strenge,Detailgenauigkeit",1640
708,"Teppich,Tischdecke,Kunstkammer,Reichtum,Luxus,Sommer,Geschlechtsakt,Sinnbild,Sinn,Gesicht,Akustische Wahrnehmung,Geschmackssinn,Geruchssinn,Tugend,Selbsterkenntnis,Lust,Todsünde,Moral,Trieb,Vanitas,Genuss,Phallus,Penis,Vagina,Lust,Sinnlichkeit,Sexualität",1650
721,"Kürbis,Herbst,Erntedankfest,Park,Garten,Paragone,Plinthe,Skulptur,Malerei,Frühwerk,Delft,Reichtum,Überfluss,Dreidimensionalität,Tiefe,Dekoration,Vergänglichkeit,Fluss,Friedhof",1650
754,"Vanitas,Bauer,Schutz,Sommer,Abend,Dunkelheit,Regen,Donner,Gewitter,Wetter,Bauernhaus,Vergänglichkeit,Reetdach,Erdatmosphäre",1650
761,"Nymphe,Antike,Antikenrezeption,Schloss,Burg,Ideallandschaft,Schwangerschaft,Inzest,Metamorphose,Rache,Verführung,Strafe,Fluch,Mutter,Sohn,Königstochter,Nysa (Mythologie),Geburt,Sinnbild",1600
763,"Taufe,Schutz,Heilstein,Aberglaube,Apotropaion,Bürgerlichkeit,Kupferstich",1620
766,"Brille,Barett,Fenster,Pergola,Gebirge,Schloss,Festung,Stadt,See,Wald,Marmor,Granit,Deutschland,Drei Gleichen,Thüringen,Ideallandschaft,Niederlande,Kaufmann,Renaissance,Frömmigkeit,Wissenschaft,Forschung,Gotische Schrift,Reformation,Pseudoschrift",1520
783,"Baumruine,Spaziergang,Freizeit,Ländlichkeit,Bäuerlichkeit,Dunkelheit,Undurchdringlichkeit,Licht,Holland,Hell-Dunkel-Kontrast",1660
807,"Ikone,Jungfrau,Beschützerin,Schutz,Innigkeit,Mutter,Liebe,Vertrautheit",1360
821,"Niederlande,Folter,Inversion,Schächer,Gefangenschaft,Fesselung,Passion",1430
822,"Neues Testament,Patras,Mutter,Legende,Heiligenlegende,Predigt,Andreaskreuz,Bekehrung,Jünger,Fischer,Missionar,Heiler,Detailgenauigkeit",1430
823,"Enthauptung,Zeuge,Henker,Gebet,Hohepriester,Jünger,Tabor (Berg)",1430
824,"Scherge,Porta Latina (Rom),Neues Testament,Jünger,Heidentum,Anklage,Verurteilung,Patmos (Insel),Wunder,Folterwerkzeug,Christentum,Strafe,Gericht",1430
825,"Phrygien,Priester,Hinrichtung,Spiegelung,Spott,Steinigung,Hinrichtung,Strafe,Karikatur",1430
826,"Kochsalz,Folterknecht,Folter,Kraft,Hinrichtung,Schadenfreude,Grausamkeit,Brutalität,Sadismus,Strafe,Häutung",1430
827,"Ikonoklasmus,Kultbild,Hohepriester,Judenhut,Mob,Christentum,Glaube,Überfall,Kraft,Überlegenheit,Macht",1430
828,"Codex,Grisaille,Schnitzaltar,Stulpenstiefel,Mord,Gelassenheit,Kraft,Glaube,Gewalt,Licht,Dunkelheit,Neues Testament,Evangelium",1430
829,"Predigt,Sturz,Sack,Gewalt,Wehrlosigkeit,Macht,Reichtum,Glaube,Schlag",1430
830,"Bruder,Kultbild,Überfall,Neues Testament,Christentum,Glaube,Tod,Reichtum,Macht,Machtausübung,Gewalt",1430
831,"Schnitzaltar,Christus Pantokrator,Christus Salvator,Rüstung,Grab,Hinterhalt,Thron,Segensgestus,Neues Testament,Hohepriester,Hinrichtung,Rheinland,Goldschmiedearbeit,Gewalt,Macht,Reichtum,Machtausübung",1430
832,"Enthauptung,Richtschwert,Fesselung,Neues Testament,Missionar,Theologe,Drei Quellen,Rom,San Paolo alle Tre Fontane (Rom),Henker,Reichtum,Macht,Machtausübung,Christentum,Todesstrafe",1430
839,"Marmor,Kirchenvater,Gelehrter,Studium,Alpen,Wissenschaft,Bildung,Theologie,Theologe,Philosophie,Übersetzung,Vulgata,Bibliothek,Autor,Autorenbild,Ordnung",1510
842,"Fresko,Triptychon,Mitteltafel,Altarflügel,Marmor,Privatandacht,Stifterbild,Übermalung,Stifteraltar,Engelchor,Frührenaissance,Devotion,Privatraum,Jungfrau,Herrschaftlichkeit,Bewunderung,Anbetung,Mütterlichkeit,Mutter,Gottessohn,Muttergottes,Sacra Conversazione,Polyptychon,Monumentalität,Ritzung,Passion,Dreieckskomposition",1330
843,"Vorahnung,Heilsgeschichte,Vertrautheit,Mutter,Mutter-Kind-Beziehung,Mütterlichkeit,Zeitgenossenschaft,Zärtlichkeit,Liebe,Innigkeit,Devotion,Privatraum,Asymmetrie,Anmut,Schönheit,Jungfrau,Reinheit,Sonnenuntergang,Sonnenaufgang,Windel",1490
845,"Marmor,Tapete,Frömmigkeit,Stifterbild,Ehemann,Ehepaar,Allianzbildnis,Reichtum,Ehrentuch,Patrizier,Adel,Renaissance,Selbstbewusstsein,Privatandacht,Auftragsarbeit,Repräsentationsbild,Edelstein,Smaragd",1500
846,"Schwangerschaft,Marmor,Samt,Tapete,Frömmigkeit,Stifterbild,Ehefrau,Ehepaar,Allianzbildnis,Reichtum,Ehrentuch,Patrizier,Adel,Renaissance,Reichtum,Selbstbewusstsein,Privatandacht,Auftragsarbeit,Repräsentationsbild,Seide,Ananas",1500
850,"Mutter,Sohn,Zelt,Grisaille,Messing,Arzt,Rezept,Florenz,Heiler,Schutz,Muttergottes",1450
875,"Gefahr,Sturm,Unwetter,Marine,Kriegsschiff,Handelsschiff,Machtlosigkeit,Hilflosigkeit,Tod,Wasser,Erde,Norwegen,Menschenleere,Not,Hilfe,Vier Elemente,Sog,Naturgewalt",1830
885,"Perücke,Überheblichkeit,Autorität,Herrschaftlichkeit,Macht,Strenge,Seide,Jagd,Jagdtrophäe,Marmor,Kunstkammer,Sammler,Kunstsammler,Amsterdam,Page,Gesellschaft,Goldenes Zeitalter (Niederlande),Bürgermeister,Adel,Selbstbewusstsein,Pose,Repräsentationsbild,Reichtum",1670
890,"Melancholiker,Trauer,Flucht,Krankheit (Mensch),Katastrophe,Unheil,Glaube,Frömmigkeit,Altarflügel,Zerstörung,Tod,Viehherde,Versuchung,Triptychon,Retabel,Knecht",1500
891,"Verletzbarkeit,Menschlichkeit,Tod,Erlösung,Folter,Gewalt,Soldat,Römer,Glaube,Erschöpfung,Hilfe,Barock,Schutzpatronin,Säule",1600
893,"Geliebte,Geliebter,Liebe,Männlichkeit,Weiblichkeit,Sinnlichkeit,Verführung,Personifikation,Idylle",0
894,"Reise,Reisende,Reisender,Sonnenschein,Vergänglichkeit,Antike,Italien,Idylle,Sehnsucht,Freiheit,Naturerfahrung,Abenteuer,Campagna Romana,Ideallandschaft,Familie,Kirche (Gebäude),Basilika,Hirte,Arkadien,Fernweh,Raucher",1670
895,"Nazarener,Romantik,Klassizismus,Antike,Parabel,Himmelstor,Mitternacht,Braut,Bräutigam,Hochzeit,Traum,Erscheinung,Tugend,Laster,Erlösung,Katholizismus,Weisheit,Torheit,Auferstehung Christi,Weltherrschaft,Jüngstes Gericht,Religiösität,Parusie,Italien,Schönheit,Altarbild,Altes Testament,Goldgrund,Marmor,Gleichnis,Engelchor,Dreieckskomposition",0
898,"Schmied,Goldschmied,Goldschmuck,Alchemist,Notar,Armut,Armut,Schmiede,Esse,Wirtshaus,Schriftstück,Geldbeutel,Schmelztiegel,Mörser,Zwielicht,Knecht,Gehilfe,Schicksal,Schmuck,Cartellino",1660
901,"Konstanz (Bodensee),Konzil,Protestantismus,Hinrichtung,Theologe,Prediger,Reformation,Hussiten,Häresie,Mut,Überzeugung,Lebendigkeit,Versammlung,Christentum,Strafe,Mönch,Dominikaner,Bischof,Kardinal,Talar,Schisma,Konflikt,Verteidigung,Realismus,Häretiker,Ritter,Dominikanerkloster,Monumentalität,Macht,Studium,Vortrag,Diskussion,Erlass,Tribunal,Skepsis,Neugierde,List,Intrige,Tradition,Prag,Tschechien,Reichtum,Prunk,Widerstand,Revolution,Vormärz,Kutte",1840
910,"Landleben,Tod,Unfall,Romantik,Alltag,Arbeit,Landwirtschaft,Bäuerlichkeit,Tragödie,Ländlichkeit,Sommer,Hitze,Schicksal,Angst,Kulisse,Katastrophe,Ernte,Westerwald,Religiösität,Grablegung Christi,Kreuzabnahme,Nazarener,Andachtsbild,Historienmalerei,Blitz,Frömmigkeit",1840
915,"Königin,Nymphe,Fee,Allegorie,Märchen,Wald,Geist,Meerjungfrau,Schönheit,Vollkommenheit,Anmut,Fantasie,Fantasiewelt,Romantik (Liebe),Realismus,Fabelwesen,Traumwelt,Traum,Vision,Mythos,Antike",1840
916,"Tempel,Kirchenschiff,San Carlo al Corso (Rom),Rom,Muttergottes,Gottessohn,Evangelist,Mutter-Kind-Beziehung,Perspektive,Monumentalität,Meditation,Hochrenaissance,Jenseits,Gespräch,Polyptychon,Komposition,Baldachin,Rubin,Onyx",1540
917,"Messing,Niet,Adel,Botschaft,Geheimnis",1640
918,"Jugend,Melancholiker,Niederlande,Sozialstatus,Adel,Reichtum,Repräsentation,Bürgertum,Mode,Gesellschaft",1640
919,"Sohn,Vater,Repräsentation,Familie,Familienwappen,Geld,Banknote,Renaissance,Patrizier,Gegenstück,Starnberger See,Samt,Blickachse,Kraft,Strenge,Disziplin,Deutsche Mark,Währung,Reformation,Bayern,Adelshaus,Adel,Kämmerer",1520
920,"Marmor,Kardinal,Heiliger,Jüngling,Mönch,Prozessionskreuz,Garten,Burg,Stifterbild,Andachtsbild,Auftragsarbeit,Altes Testament,Neues Testament,Symbol,Leid,Glaube,Kommunikation,Reichtum,Königin,Mutter,Würde,Nähe,Vertrautheit,Mütterlichkeit,Unbeflecktheit,Empfängnis,Herrschaftlichkeit,Niederlande,Italien,Samt",1450
937,"Gebet,Tüchleinmalerei,Kontemplation,Andacht,Würde,Eleganz,Wohlstand,Anmut,Schönheit,Persönlichkeit,Maria Annunziata,Korallenarmband,Perlenarmband,Mariendarstellung",1490
952,"Jungfrau,Beschützerin,Mutter,Muttergottes,Mutter-Kind-Beziehung,Gottessohn,Christentum,Heilsgeschichte,Frömmigkeit,Gebet,Plastizität,Stofflichkeit,Körperlichkeit,Interaktion,Karikatur,Manierismus,Fenster,Bühne",1510
976,"Park,Vater,Mutter,Sohn,Gottessohn,Muttergottes,Wärme,Demut,Maria Umiltà,Windel,Passion,Jerusalemer Tempel (Jerusalem),Niederlande,Geburt,Geburt Jesu,Empfängnis,Mutter-Kind-Beziehung,Familie,Frömmigkeit,Immaculata,Jungfrau,Reinheit,Eltern,Bethlehem",1510
977,"Gesang,Musik,Melodie,Afrika,Exotik,Versammlung,Antike,Sänger,Publikum,Garten Eden,Rückzug,Arche,Zoo,Hexaemeron",1610
980,"Samt,Glaube,Passion,Christentum,Mutter,Gebet,Muttergottes,Attribut,Symbol,Fruchtbarkeit,Jungfrau,Empfängnis,Beschützerin,Schutzpatron,Gottessohn,Frömmigkeit,Maria Umiltà",1480
982,"Pilgerreise,Armut,Christentum,Religion,Glaube,Gemeinschaft,Orden,Opfer (Religion),Christliche Kirche,Antike,Heidentum,Bekehrung,Denkmal,Gedenkstätte,Theater,Kulisse",1820
983,"Dämmerung,Reise,Religion,Christentum,Glaube,Gläubige,Erlösung,Gemeinschaft,Romantik,Jagd",1810
1002,"Märtyrerin,Königstochter,Zypern,Nothelfer,Jungfrau,Schutzpatronin,Christentum,Reichtum,Schönheitsideal,Bildung,Weisheit,Perfektion,Tugend,Bekehrung,Missionarin,Vermählung,Wunder,Rettung,Blitz,Donner,Feuer,Schwert,Enthauptung,Herrschaftlichkeit",1400
1006,"Siena,Altar,Altarbild,Unschuld,Reinheit,Jungfrau,Muttergottes,Ikone,Ikonenmalerei,Gotik,Byzanz",1370
1009,"Keltiberer,Krieg,Deckenmalerei,Würzburg,Liebe,Schönheit,Vater,Tochter,Gefangene,Gefangener,Rüstung,Gemme",1750
1011,"Ideallandschaft,Haselwurz,Märchen,Ehepaar,Ehemann,Ehefrau,Pilger,Anbetung,Verehrung,Reise,Staffage,Deutschland,Harz (Gebirge),Bodetal,Mittelalter,Mode,Kostüm,Heiligtum,Kultstätte,Christentum,Andacht,Glaube,Frömmigkeit,Symbolik,Kraft,Nationalbewusstsein,Ritter,Ausflug",1830
1039,"Patient,Arzt,Medizin,Wissenschaft,Messer,Schmerz,Wunde,Krankheit (Mensch),Barbier,Wirtshaus,Wirtshaus,Kurpfuscher,Chirurg,Bader,Behandlung (Medizin),Hilfe,Niederlande",1630
1041,"Reichtum,Gold,Gelage,Silberlegierung,Silber,Bankett,Wein,Serviette,Luxus,Gaumenfreude,Delikatesse,Eleganz,Niederlande,Barock,Realismus,Flämische Malerei",1650
1045,"Plastizität,Hochadel,Spanier,Botschafter,Landesvertretung,Blickkontakt,Religion,Christliche Kirche,Italien,Vatikanstadt,Papst,Erschöpfung,Krankheit (Mensch),Macht,Dunkelheit,Disziplin,Strenge,Askese,Einfachheit,Bescheidenheit,Überheblichkeit,Kälte",1640
1050,"Chirurg,Kurpfuscher,Bader,Patient,Opfer (Straftat),Gastwirtin,Wirtshaus,Schmerz,Wunde,Operation,Krankheit (Mensch),Behandlung (Medizin),Hilfe,Reisender,Barbier,Medizin",1630
1051,"Handel,Stoffhandel,Handelsstadt,Markt,Staffage,Repräsentation,Renaissance,Klassizismus,Gotik,Wohlstand,Personifikation,Friede,Weisheit,Gerechtigkeit,Münster (Westfalen),Westfälischer Friede,Gesellschaft",1670
1055,"Bürgertum,Adoleszenz,Selbstunsicherheit,Intimität,Schlafzimmer,Liebesbrief,Brieffreundschaft,Zurückgezogenheit,Verlockung,Ungewissheit",1650
1057,"Jugend,Kolosseum (Rom),Handwerk,Schmied,Reisender,Handel,Beruf,Alltag,Genuss,Rast,Pause,Armut,Italien,Tabak",1650
1060,"Einsamkeit,Rückzug,Vergänglichkeit,Wanderung,Wanderer,Flucht,Glaube,Frömmigkeit,Bescheidenheit,Religiösität,Christentum,Pilger,Pilgerreise,Dämmerung,Dunkelheit,Abgeschiedenheit,Mischwald",1610
1065,"Brautwerbung,Ehe,Antike,Münzporträt,Bildung,Stand,Wunsch,Lust,Sexualität,Anamorphose,Frömmigkeit,Repräsentation,Selbstdarstellung,Reformation,Herrschaftlichkeit,Idealbildnis,Adel,Vorfreude,Hoffnung,Italien,Renaissance,Gelassenheit,Sehnsucht",1530
1066,"Nacht,Blindheit,Altarbild,Gewalt,Folter,Tod,Andacht,Heilung,Krieger,Hinrichtung,Spott,Samt,Dämmerung,Träne,Tracht,Uniform,Gelehrter,Sieben Schmerzen Mariä",1500
1071,"Fluss,Meer,Vanitas,Ruhe,Unwetter,Sturm,Spaziergang,Erholung,Handel,Goldenes Zeitalter (Niederlande),Fernweh,Ufer,Kanal,Panorama,Niederlande,Bauernhof",1650
1078,"Mütterlichkeit,Pest,Nothelfer,Rettung,Evangelium,Martyrium,Verletzung,Passion,Kindlichkeit,Vorahnung,Königspalast,Reichtum,Standbein,Spielbein,Kontrapost,Heiligenlegende,Pilger,Reisende,Königin,Kontemplation,Andacht,Gebetbuch,Dreieckskomposition",1490
1082,"Abend,Mahlzeit,Wärme,Stillleben,Botschaft,Brief,Gespräch,Mutter,Mutter-Kind-Beziehung,Tochter,Familie,Erziehung,Mütterlichkeit,Wohnzimmer,Magd,Bäuerin,Hausfrau,Vogelkäfig,Besuch,Aufforderung,Dialog",1650
1091,"Wüste,Einsiedler,Chalkis (Syrien),Kirchenvater,Buße,Abgeschiedenheit,Demut,Schmerz,Reue,Schlag,Stein,Vanitas,Asket,Askese,Übersetzer,Vulgata",1510
1093,"Bauer,Bäuerin,Hirte,Hirtin,Wanderung,Landleben,Landwirtschaft,Kontrast,Gegensätzlichkeit,Atmosphäre,Schutzsuchende,Schutzsuchender",1830
1095,"Heilsgeschichte,Empfängnis,Menschwerdung Gottes,Geburt,Schwangerschaft,Vorahnung,Jungfrau,Fruchtbarkeit,Unbeflecktheit,Erlösung,Passion,Botschaft,Bote,Trauer,Kälte,Blickwechsel,Niederlande,Zeitgenossenschaft,Würde,Überraschung,Schrecken,Christentum,Evangelium,Psalter,Schlafzimmer,Trinität,Marienleben,Sieben Freuden Mariä",1500
1096,"Gemeinschaft,Ägypten,Sinai (Berg),Refidim,Massa (Bibel),Reise,Rast,Durst,Wassermangel,Not,Rettung,Wunder,Brunnen,Gebet,Freude,Familie,Oase,Höhle,Grotte,Akademie,Klassizismus,Sfumato,Genre,Historienmalerei,Erlösung,Volk,Wüste,Hilfe,Streit,Zorn,Meriba (Bibel),Erschöpfung,Versammlung,Zeuge,Schicksal,Wanderung,Glaube",1640
1103,"Marmor,Steinboden,Geißelung,Strafe,Auspeitschung,Folter,Leid,Rom,Bologna,Präsenz,Erlösung,Fesselung,Göttlichkeit,Menschlichkeit,Menschliche Existenz,Dasein",1600
1106,"Manierismus,Renaissance,Italien,Florenz,Patrizier,Adel,Protestantismus,Herrschaftlichkeit,Kostüm,Luxus,Repräsentation,Frömmigkeit,Schönheit,Reichtum,Rubin,Smaragd",1550
1109,"Grote of Sint-Bavokerk (Haarlem),Spaziergang,Spaziergänger,Wanderung,Wanderer,Eis,Wetter,Nachmittag,Atmosphäre,Unwetter,Lichtführung,Wind,Bewegung (Körperbewegung),Dunkelheit,Nebel,Düne,Licht,Goldenes Zeitalter (Niederlande)",1670
1112,"Niederlande,Handel,Hafen,Kanal,Goldenes Zeitalter (Niederlande),Arbeit,Alltag,Erdatmosphäre",1640
1113,"Sumpf,Antike,Geliebte,Zwilling,Strafe,Metamorphose,Fluch,Durst,Mutter,Lykien,Spott,Macht,Fabelwesen,Verbot,Lebendigkeit,Vielschichtigkeit,Ernte,Tümpel,Vergangenheit,Gotteslästerung",1600
1114,"Fresko,Personifikation,Antike,Renaissance,Gotik,Mittelalter,Romantik,Nazarener,Altarbild,Religion,Christentum,Katholizismus,Christliche Kirche,Germane,Italien,Monumentalität,Missionar,Frömmigkeit,Religiösität,Heidentum,Ideallandschaft,Bibel,Evangelium,Predigt,Unterricht,Schule,Kunstunterricht,Lehrer,Schüler,Akademie,Handwerk,Expressivität (Kunst),Kunstgattung,Plastik,Malerei,Architektur,Musik,Poesie,Wissenschaft,Kulturgeschichte,Krönung,Muttergottes,Zweifel,Enttäuschung,Studium,Benediktiner,Franziskaner,Nationalbewusstsein,Triptychon,Wald,Priesterin,Bauzeichnung,Barde,Weinberg,Rubin",1830
1115,"Nazarener,Renaissance,Antike,Gegenstück,Personifikation,Italien,Rom,Toskana,Kampanien,Pompeji,Ideal,Stilisierung,Macht,Granatapfel,Orange (Frucht),Sonnenuntergang,Sonnenstrahl,Licht,Sehnsucht,Nationalbewusstsein,Katholizismus,Ausgrabungsstätte,Forum Romanum (Rom)",1830
1116,"Marmor,Granit,Porphyr,Podest,Insignien,Reichsinsignien,Kronjuwel,Stadt,Köln,Rhein,Kölner Dom,Denkmal,Kurfürst,Deutsches Reich,Deutscher Bund,Brandenburg,Sachsen,Kurfürstentum,Böhmen,Rheinland-Pfalz,Trier,Mainz,Renaissance,Gegenstück,Antike,Personifikation,Deutschland,Ideal,Stilisierung,Macht,Sonnenaufgang,Sehnsucht,Nationalbewusstsein,Volk,Symbol,Identität,Einheit,Demokratie,Freiheit,Kaiserreich",1830
1125,"Weiblichkeit,Antike,Rom,Entmythologisierung,Sinnlichkeit,Erotik,Verführung,Dunkelheit,Nacht,Schleiertanz,Transparenz,Pause,Statue,Weltraum,Erde (Planet),Adel,Irrealität,Smaragd,Rubin,Verhüllung,Hell-Dunkel-Kontrast",1530
1130,"Patrizier,Würde,Stolz,Ratsherr,Sozialstatus,Repräsentationsbild,Seide,Perücke,Herrschaftlichkeit,Strenge,Autorität,Reichtum,Frankfurt am Main,Mäzen",1680
1133,"Jüngling,Jugend,Androgynität,Bürgertum,Adel,Luxus,Reichtum,Italien,Rom,Venedig,Schönheit,Idealbildnis,Nähe,Miniaturmalerei",1510
1134,"Kellertür,Mittagessen,Familie,Knecht,Magd,Großmutter,Sohn,Gast,Bäuerlichkeit,Idylle,Einfachheit,Armut,Besuch,Freizeit,Wirtshaus,Dörflichkeit,Küche,Bauer,Gemeinschaft,Abnutzung,Alltag,Kabinettstück,Gemütlichkeit",1770
1135,"Einfachheit,Familienleben,Geborgenheit,Vertrautheit,Zusammenhalt,Dörflichkeit,Bäuerlichkeit,Abnutzung,Mittagessen,Geselligkeit,Kabinettstück,Bodenständigkeit,Bürgerlichkeit,Mittagspause,Abendessen,Alkohol,Idylle,Gemeinschaft,Gemütlichkeit",1770
1136,"Adel,Spaniel,Cavalier King Charles Spaniel,Monumentalität,Bildung,Frömmigkeit,Rosenkranz,Herrschaftlichkeit,Distanz (Psychologie),Manierismus,Selbstbewusstsein,Gelassenheit,Stolz,Florenz,Reichtum,Kurulischer Stuhl,Strenge",1530
1144,"Hirte,Wanderung,Reise,Handelsstraße,Flusslandschaft,Rast,Abenddämmerung,Morgendämmerung,Stille,Zeitlosigkeit,Ideallandschaft,Herbst,Kolorit,Italien",1830
