year,date,titel,titelEN,text,textEN,extra,extraEN,link,kategorie
1817,13.04.1817,Abschied von der Theaterleitung,,Wegen eines Streits mit der Schauspielerin Caroline Jagemann legt Goethe die Leitung des Weimarer Theaters nieder.,,,,,Biographie
1817,17.06.1817,Heirat des Sohnes,,August von Goethe heiratet Ottilie von Pogwisch (1796-1872).,,Die Ehe ist problematisch und besteht am Ende nur noch auf dem Papier.,,,Biographie
1818,09.04.1818,Geburt des Enkels Walther,,Goethes erster Enkel Walther von Goethe wird geboren; später arbeitet er als Komponist.,,"Obwohl ihn unter anderem Felix Mendelssohn-Bartholdy und Robert Schumann protegieren, bleibt ihm der Durchbruch versagt.",,,Biographie
1820,18.09.1820,Geburt des Enkels Wolfgang Maximilian,,Wie sein Bruder Walther wird Wolfgang Maximilian vom Großvater geliebt.,,Er arbeitet später als Jurist und preußischer Legationsrat.,,,Biographie
1823,1823,Letzte Liebe,,In Marienbad macht Goethe der neunzehnjährigen Ulrike von Levetzow einen Heiratsantrag - und wird abgewiesen.,,Die Zurückweisung stürzt ihn in eine schwere Krise.,,,Biographie
1825,07.11.1825,Fünfzig Jahre in Weimar,,In der herzoglichen Bibliothek begeht Goethe sein fünfzigjähriges Amtsjubiläum.,,,,,Biographie
1827,29.10.1827,Geburt der Enkelin Alma,,Goethes jüngste Enkelin wird geboren.,,"Sie stirbt schon mit 16 Jahren an Typhus - in Weimar geblieben, weil sie Hofdame werden soll. Sie selbst hatte nach Wien ziehen wollen.",,,Biographie
1828,14.06.1828,Tod Carl Augusts,,Der Dienstherr und Freund stirbt auf der Rückreise von Berlin.,,Goethe zieht sich in Trauer auf die Dornburger Schlösser bei Jena zurück.,,,Biographie
1829,19.01.1829,Uraufführung des Faust,,In Braunschweig wird Faust I in einer stark bearbeiteten Form uraufgeführt.,,Einen festen Platz auf den Spielplänen erhält das Stück erst später.,,,Biographie
1830,26.10.1830,August von Goethe stirbt,,Goethes Sohn stirbt während einer Reise in Rom.,,"Als sein Vater die Nachricht erhält, erleidet er einen Blutsturz.",,,Biographie
1831,26.08.1831,Letzte Reise,,Goethe reist noch einmal mit den Enkeln Walther und Wolfgang nach Ilmenau.,,"Auf dem Kickelhahn schaut er noch einmal sein Gedicht ""Wanderers Nachtlied"" an.",,,Biographie
1832,22.03.1832,Tod in Weimar,,Goethe stirbt nach einigen Tagen Krankheit in seinem Haus am Frauenplan.,,"Ob seine letzten Worte tatsächlich ""Mehr Licht"" waren, ist nicht gesichert.",,,Biographie
1776,04.07.1776,Die USA werden unabhängig,,Die USA lösen sich von Großbritannien. Der Unabhängigkeitskrieg dauert sieben Jahre. ,,In der deutschen Wahrnehmung wird er bald von der Französischen Revolution überschatte.,,,Historische Ereignisse
1781,1781,Kritik der reinen Vernunft,,Immanuel Kant veröffentlicht die Kritik der reinen Vernunft.,,"Später ergänzt Kant das Buch durch die Kritik der praktischen Vernunft und die Kritik der Urteilskraft. Mit diesen Büchern revolutioniert Kant die deutsche Philosophie und inspiriert Denker wie Fichte, Schelling und Hegel.",,,Historische Ereignisse
1782,13.01.1782,Schillers Räuber,,Friedrich Schillers erstes Theaterstück wird in Mannheim unter großem Beifall uraufgeführt.,,Das Stück trägt Schiller später die Ehrenbürgerwürde der französischen Republik ein.,,,Historische Ereignisse
1783,04.06.1783,Erster Ballonflug,,Die Brüder Montgolfier lassen zum ersten Mal einen Ballon aufsteigen.,,,,,Historische Ereignisse
1789,14.07.1789,Französische Revolution,,Mit dem Sturm auf die Bastille beginnt die französische Revolution.,,Goethe erlebt die Revolution als historische Katastrophe und lehnt sie verhement ab.,,,Historische Ereignisse
1791,05.12.1791,Mozart stirbt,,Weniger Monate nach der Uraufführung der Zauberflöte stirbt der Komponist an hohem Fieber.,,,,,Historische Ereignisse
1792,10.08.1792,Ende der französischen Monarchie,,Nach dem Sturm auf die Tuilierien wird der französische König Ludwig XVI. abgesetzt.,,"Bei den nachfolgenden ""Septembermorden"" werden über 200 Geistliche von der Menge umgebracht. Am 21. September wird die Monarchie offiziell abgeschafft.",,,Historische Ereignisse
1793,13.01.1793,Ludwig XVI. auf der Guillotine,,Nach seiner Verurteilung durch den Nationalkonvent wird der französische König hingerichtet.,,,,,Historische Ereignisse
1794,1794,Höhepunkt des revolutionären Terrors,,"Auf dem Höhepunkt des ""Terrors"" fallen sogar die Anführer Danton und Robespierre der Guillotine zum Opfer.",,,,,Historische Ereignisse
1795,28.09.1795,Dritte polnische Teilung,,"Preußen, Österreich und Russland teilen die Reste des Königreichs Polen unter sich auf.",,Mehr als ein Jahrhundert lang existiert kein polnischer Staat mehr.,,,Historische Ereignisse
1796,21.06.1796,Mungo Park am Niger,,Der schottische Forscher erreicht als erster Europäer den sagenhaften Fluss in Westafrika.,,,,,Historische Ereignisse
1798,24.07.1798,Napoleon in Ägypten,,Nach dem Sieg über ein osmanisches Mamlukenheer zieht Napoleon in Kairo ein.,,,,,Historische Ereignisse
1799,09.11.1799,Napoleon an der Macht,,Mit einem Staatsstreich putscht sich Napoleon Bonaparte in Frankreich an die Macht.,,Nach dem Revolutionskalender findet der Putsch am 18. Brumaire (Nebelmonat) statt.,,,Historische Ereignisse
1800,1800,Entdeckung des Infrarotlichts,,Der deutsch-britische Physiker und Astronom William Herschel entdeckt das Infrarotlicht.,,"Im folgenden jahr beweist der Physiker Johann Wilhelm Ritter, dass es auch am anderen Ende des sichtbaren Lichspektrums Strahlen gibt - das ultraviolette Licht.",,,Historische Ereignisse
1801,09.02.1801,Frieden von Lunéville,,Mit diesem Vertrag zwischen Frankreich und Österreich wird der Zweite Koalitionskrieg beendet.,,Alle deutsche Territorien links des Rheins werden an Frankreich übereignet.,,,Historische Ereignisse
1802,1802,Humboldt auf dem Chimborazo,,Mit seinem Reisegefährten Aimé Bonpland besteigt Alexander von Humboldt den 6267 Meter hohen Andengipfel.,,Der Chimborazo gilt damals als der höchste Berg der Welt.,,,Historische Ereignisse
1803,25.02.1803,Reichsdeputationshauptschluss,,In Regensburg beschließt man eine territoriale Neuordnung des Heiligen Römischen Reiches.,,"Viele Kleinstaaten werden aufgelöst, einige Reichsstädte verlieren ihre Unabhängigkeit, geistliche Territorien werden säkularisiert.",,,Historische Ereignisse
1804,02.12.1803,Napoleon wird Kaiser,,Napoleon Bonaparte erklärt sich zum Kaiser aller Franzosen.,,"Schon im Frühjahr führt er den Code civil ein, das Vorbild vieler Gesetzbücher des 19. Jahrhunderts.",,,Historische Ereignisse
1805,09.08.1805,Krieg gegen Frankreich,,"Österreich, Preußen, Großbritannien, Russland, Schweden und weitere Staaten verbünden sich gegen Frankreich.",,"Im nachfolgenden Krieg gewinnt Großbritannien die Seeschlacht bei Trafalgar, aber Napoleon schlägt ein großes Koalistionsheer bei Austerlitz.",,,Historische Ereignisse
1806,06.08.1806,Auflösung des Reiches,,Franz II. legt die deutsche Kaiserkrone nieder und ist nur noch Kaiser von Österreich.,,Am 14. Oktober wird das preußische Heer bei Jena und Auerstedt vernichtend geschlagen; auch Weimar wird von französischen Truppen geplündert.,,,Historische Ereignisse
1806,14.10.1806,Schlacht bei Jena und Auerstedt,,Preußen und Sachsen unterliegen gegen Napoleon.,,Die deutschen Staaten - auch das Herzogtum Weimar - geraten unter die politische Kontrolle Frankreichs.,,,Historische Ereignisse
1807,25.03.1807,Slave Trade Act,,Mit diesem Gesetz wird der Sklavenhandel im britischen Weltreich offiziell abgeschafft.,,Die Sklaverei selbst bleibt jedoch weiterhin erlaubt. ,,,Historische Ereignisse
1808,1808,Neue Kriege in Europa,,Neue Konflikte flammen auf: Russland marschiert in Schweden ein und annektiert Finnland; in Spanien regt sich Widerstand gegen die Franzosen.,,"Von diesem ""kleinen Krieg"" mit seinen Partisanentaktiken leitet sich das Wort guerilla her.",,,Historische Ereignisse
1809,1809,Österreichischer Aufstand gegen Frankreich,,"Österreich beginnt auf eigene Faust einen Feldzug gegen Frankreich, unterliegt aber.",,,,,Historische Ereignisse
1810,1810,Aufruhr in Lateinamerika,,"In Mexiko, Kolumbien, Chile und Argentinien gibt es erste Aufstände gegen die spanische Herrschaft.",,Kolumbien erklärt sich bereits für unabhängig.,,,Historische Ereignisse
1810,1810,Eröffnung der Berliner Universität,,"Die Berliner Universität, unter der Ägide von Wilhelm von Humboldt gegründet, nimmt den Lehrbetrieb auf.",,"Mit Lehrern wie Johann Gottlieb Fichte, Georg Friedrich Wilhelm Hegel und dem Juristen Friedrich Carl von Savigny wird sie schnell zu einem intellektuellen Zentrum.",,,Historische Ereignisse
1811,30.10.1811,Revolution des Buchdrucks,,Friedrich Koenig erhält in London ein Patent auf die erste Zylinderdruckpresse.,,Mit dieser neuen Technik wird der Buchdruck erheblich schneller - und billiger.,,,Historische Ereignisse
1812,14.09.1812,Napoleon scheitert in Russland,,Das Heer Frankreichs und seiner Verbündeten zieht in Moskau ein.,,"Doch die Stat brennt und die Armee ist so erschöpft, dass sie einen fluchtartigen Rückzug antritt.",,,Historische Ereignisse
1812,20.12.1812,Grimms Märchen,,Die erste Auflage von Jacob und Wilhelm Grimms Deutsche Kinder- und Hausmärchen wird ausgeliefert.,,"Die Herausgeber sammeln mündlich erzählte Stoffe, bearbeiten sie aber stark, um sie dem Publikumsgeschmack anzupassen.",,,Historische Ereignisse
1813,16.10.1813,"""Vielvölkerschlacht""",,In einer mehrtägigen Schlacht bei Leipzig besiegt ein großes Koalitionsheer die Reste von Napoleons Truppen.,,"Die ""Befreiungskriege"" führen in Deutschland zu einer Phase der nationalistischen Euphorie.",,,Historische Ereignisse
1814,31.03.1814,Einmarsch in Paris,,Koalitionstruppen marschieren in Paris ein. Frankreich wird wieder Monarchie.,,Napoleon erhält die Insel Elba vor der toskanischen Küste als Exil.,,,Historische Ereignisse
1815,09.06.1815,Wiener Kongress,,In Wien ordnen die europäischen Mächte den Kontinent neu; Hoffnungen auf eine deutsche Einigung werden enttäuscht.,,Vor der Einigung besiegen die Koalitionsmächte den rebellierenden Napoleon bei Waterloo.,,,Historische Ereignisse
1816,05.05.1816,Weimarer Verfassung,,Das Großherzogtum Sachsen-Weimar-Eisenach erhält eine Verfassung.,,Das liberale Dokument gesteht den Untertanen weitgehende Rechte zu; die Pressefreiheit wird jedoch später zurückgenommen.,,,Historische Ereignisse
1817,12.06.1817,Das erste Fahrrad,,Karl Ferdinand Drais von Sauerbronn unternimmt in Mannheim eine Probefahrt mit der von ihm erfundenen Draisine.,,Dieses Gefährt ist der Vorläufer des Fahrrads.,,,Historische Ereignisse
1817,31.10.1817,Wartburgfest,,Zum 300. Jahrestag der Reformation demonstrieren Jenaer Studenten auf der Wartburg bei Eisenach.,,Sie fordern die deutsche Einigung - und verbrennen Bücher von ihnen verhassten Autoren.,,,Historische Ereignisse
1818,03.12.1818,Kein Weg um Nordamerika,,Die russische Rurik-Expedition hatte vergeblich nach einer Nordwestpassage um den amerikanischen Kontinent gesucht.,,"Ihr Leiter war Otto von Kotzebue, der Bruder des Weimarer Theaterdichters.",,,Historische Ereignisse
1819,31.08.1819,Buchzensur in Deutschland,,Nach der Ermordung des Dramatikers August von Kotzebue beschließt der Deutsche Bund strenge Zensurgesetze.,,"Die ""Karlsbader Beschlüsse"" sollen liberale Agitation unterbinden, führen aber langfristig zu mehr Widerstand unter den Autoren.",,,Historische Ereignisse
1820,1820,Entdeckung des Elektromagnetismus,,Der dänische Phyiker Hans Christian Ørsted entdeckt den Elektromagnetismus.,,,,,Historische Ereignisse
1821,1821,Unabhängigkeitswelle in Mittelamerika,,Große Teile der spanischen Kolonien werden unabhängig.,,"Mexiko, Honduras, Nicaragua, Costa Rica und El Salvador werden eigenständige Staaten, Panama schließt sich zunächst Kolumbien an.",,,Historische Ereignisse
1822,01.01.1822,Griechenlands Unabhängigkeit,,Griechenland erklärt sich vom Osmanischen Reich unabhängig.,,"Die Kämpfe, die Goethe mit großer Sympathie verfolgt, dauern allerdings noch bis 1829.",,,Historische Ereignisse
1824,07.05.1824,Beethovens 9. Symphonie,,Der ertaubte Beethoven führt in Wien erstmals seine neunte Symphonie auf.,,"Als Text für den Schlusssatz benutzt er Friedrich Schillers Gedicht ""An die Freude"" (1785). ",,,Historische Ereignisse
1825,27.05.1825,Die erste Eisenbahnlinie,,In Großbritannien wird die erste öffentliche Eisenbahnlinie der Welt eingeweiht.,,Sie verläuft zwischen Darlington und Stockton-on-Tees in Nordengland.,,,Historische Ereignisse
1826,1826,Die erste Fotografie,,Joseph Nicéphore Niépce entwickelt das erste funktionierende Verfahren für Fotografien.,,Das erste Foto überhaupt zeigt ein Bild in seiner Heimatstadt Chalon-sur-Saône.,,,Historische Ereignisse
1827,1827,Alexander von Humboldt kehrt zurück.,,Nach mehr als zwanzig Jahren im Ausland lässt sich der Naturforscher in Berlin nieder.,,Nach seiner Reise durch Lateinamerika hatte Humboldt in Paris gelebt.,,,Historische Ereignisse
1828,26.05.1828,Kaspar Hauser,,"In Nürnberg taucht ein rätselhafter, offenbar geistig zurückgebliebener Junge auf.",,"1833 stirbt er an den Folgen einer Stichverletzung, möglicherweise durch ein Attentat.",,,Historische Ereignisse
1829,11.03.1829,Bachs Widerentdeckung,,Mit Felix Mendelssohn-Bartholdys Aufführung der Matthäus-Passion wird Johann Sebastian Bach rehabilitiert.,,Seit dieser Zeit zählt er zu den populärsten deutschen Komponisten.,,,Historische Ereignisse
1830,27.07.1830,Julirevolution in Frankreich,,Durch einen liberalen Aufstand wird König Karl X. zur Abdankung gezwungen und durch seinen entfernten Vetter Louis Philippe ersetzt.,,"In ganz Europa kommt es zu Unruhen, auch in vielen deutschen Kleinstaaten. Belgien wird unabhängig von den Niederlanden.",,,Historische Ereignisse
1831,27.12.1831,Charles Darwin sticht in See,,Mit der HMS Beagle begibt sich der Naturforscher nach Südamerika.,,"Mit den Erkenntnissen, die er dort gewinnt, begründet Darwin seine Evolutionstheorie.",,,Historische Ereignisse
1832,27.05.1832,Hambacher Fest,,Auf dem Hambacher Schloss in der Pfalz fordern 30.000 Demonstranten die deutsche Vereinigung.,,Vor allem Bürger und Studenten beteiligen sich am Fest.,,,Historische Ereignisse
1833,1833,Der Telegraph,,Carl Friedrich Gauß und Wilhelm Weber konstruieren den ersten elektrischen Telegraphen.,,Mit diesen Maschinen können Nachrichten erstmals schneller reisen als Menschen.,,,Historische Ereignisse
1777,1777,Wilhelm Meisters theatralische Sendung,,Goethe beginnt mit der Arbeit am Vorgängertext zu Wilhelm Meisters Lehrjahren.,,Nach acht Jahren gibt Goethe vorerst auf. Erst 1911 erscheint diese Version im Druck.,,http://gutenberg.spiegel.de/buch/wilhelm-meisters-theatralische-sendung-6772/1,Werk
1778,1778,Triumph der Empfindsamkeit,,"Das Stück wird zum Geburtstag von Fürstin Luise, der Ehefrau Carl Augusts, aufgeführt.",,,,"http://www.zeno.org/Literatur/M/Goethe,+Johann+Wolfgang/Dramen/Der+Triumph+der+Empfindsamkeit ",Werk
1780,07.09.1780,Wanderers Nachtlied (Ein Gleiches),,"Goethe schreibt sein poulärstes Gedicht  (""Über allen Gipfeln ist Ruh…"") auf die Wand einer Jagdhütte bei Ilmenau.",,Bis heute ist es einer seiner populärsten Texte geblieben.,,"http://www.zeno.org/Literatur/M/Goethe,+Johann+Wolfgang/Gedichte/Gedichte+%28Ausgabe+letzter+Hand.+1827%29/Lieder/Ein+gleiches",Werk
1786,1786,Iphigenie auf Tauris,,In Rom bringt Goethe das in Weimar begonnene Drama in eine klassische Versform.,,"Die Iphigenie gilt damit als erster wichtiger Text des ""klassische"" Goethe.",,,Werk
1787,1787,Erste autorisierte Werkausgabe,,"Um Raubdrucker zu entmutigen, veröffentlicht Goethe im Leipziger Verlag Göschen bis 1790 seine Schriften in acht Bänden.",,,,,Werk
1789,1789,Torquato Tasso,,"Goethe beendet die Arbeit an diesem Stück, das er in Rom begonnen hatte.",,"Mit Torquato Tasso thematisiert Goethe den eigenen inneren Zwiespalt zwischen Dichter und höfischem Amtsträger, der ihn nach Italien trieb.",,,Werk
1790,1790,Faust. Ein Fragment,,"In der Göschen-Werkausgabe publiziert Goethe erstmals Teile aus seinem Faust, an dem er seit 1772 gearbeitet hatte.",,,,,Werk
1790,1790,"Versuch, die Metamorphose der Pflanzen zu verstehen",,Der Dichter publiziert sein erstes naturwissenschaftliches Buch.,,"Von der Idee einer ""Urpflanze"" ausgehend, beschreibt Goethe alle Teile der Pflanze als Abwandlungen des Blattes.",,,Werk
1793,1793,Reinecke Fuchs,,"Dieses Versepos, nach einer niederländischen Vorlage geschrieben, gehörte im 19. Jahrhundert zu Goethes populärsten Büchern.",,,,,Werk
1795,1795,Unterhaltungen deutscher Ausgewanderten,,Für Schillers Zeitschrift Die Horen entsteht Goethes erster und einziger Novellenzyklus.,,"Höhepunkt ist das bewusst rätselhafte ""Märchen"", das noch heute die Interpreten beschäftigt.",,,Werk
1796,1796,Abschluss der Lehrjahre,,"Zum ersten Mal seit dem Werther erscheint ein Roman des Autors. Neben Christoph Martin Wielands Agathon gilt er als Gründungstext der Gattung ""Bildungsroman"".",,"Erst der Austausch mit Schiller ermöglicht es Goethe, das Buch zu Ende zu bringen.",,,Werk
1797,1797,Das Balladenjahr,,Goethe und Schiller stacheln sich gegenseitig zum Schreiben von Balladen an.,,"Dabei entstehen unter anderem Goethes ""Zauberlehrling"" und ""Der Gott und die Bajadere"". Schiller schreibt u.a. den ""Taucher"", den ""Ring des Polykrates"" und ""Die Kraniche des Ibykus"". ",,,Werk
1798,1798,Die Propyläen,,Goethe beginnt mit der Herausgabe einer eigenen Kunstzeitschrift.,,"Da sie kaum Absatz findet, muss er sie bereits 1800 wieder aufgeben.",,,Werk
1800,1800,Mahomet,,Auf Wunsch Carl Augusts übersetzt Goethe das Stück von Voltaire.,,"Dabei versucht er, die antiislamischen Tendenzen des Originals abzumildern.",,,Werk
1803,1803,Die natürliche Tochter,,Goethes erstes Theaterstück seit langem fällt beim Weimarer Publikum durch.,,,,,Werk
1805,1805,Rameaus Neffe,,Auf Schillers Anregung übersetzt Goethe die bis dahin unveröffentlichte Erzählung von Denis Diderot ins Deutsche.,,,,,Werk
1808,1808,Faust I,,"""Der Tragödie erster Teil"" erscheint.",,Das Stück gilt bis heute als wichtigstes Werk des Autors; der viel später erschienene zweite Teil steht bis heute im Schatten des ersten.,,,Werk
1809,1809,Die Wahlverwandtschaften,,Die Geschichte einer komplizierten Beziehung zwischen zwei Paaren ist vielleicht Goethes bester Roman.,,Ursprünglich war das Werk als Novelle im neuen Projekt Wilhelm Meisters Wanderjahre konzipiert.,,,Werk
1810,1810,Zur Farbenlehre,,Nach fast zwanzig Jahren Arbeit veröffentlich Goethe sein wissenschaftliches magnum opus.,,In der zeitgenössischen Physik stößt das Buch auf geringe Resonanz.,,,Werk
1811,1811,Dichtung und Wahrheit,,"Der erste Teil von Goethes Autobiographie erscheint. 1812, 1814 und 1831 folgen weitere Bände.",,Sie decken allerdings nur die Zeit bis zu Goethes Ankunft in Weimar 1775 ab.,,,Werk
1814,1814,Des Epimenides Erwachen,,Auf Wunsch Carl Augusts schreibt Goethe ein Festspiel zu Niederlage Napoleons.,,Im Text werden aber auch die ambivalenten Gefühle des Napoleon-Anhängers Goethe deutlich.,,,Werk
1816,1816,Italienische Reise,,"Der Reisebericht enthält keinen authentischen Text aus den 1780er Jahren, sondern eine stark überarbeitete, literarisch stilisierte Fassung; der zweite Band erscheint 1817.",,"Mit dem Obertitel ""Aus meinem Leben"" schafft Goethe eine Verbindung zu Dichtung und Wahrheit.",,,Werk
1819,1819,West-östlicher Divan,,"Angeregt von persischer, arabischer und türkischer Literatur verfasst Goethe sein großes lyrisches Alterswerk.",,"Der Band enthält auch Gedichte Marianne von Willemers, die im Dialog mit Goethe entstanden waren.",,,Werk
1821,1821,Wilhelm Meisters Wanderjahre,,Goethes letzter Roman trifft beim Publikum weitgehend auf Unverständnis.,,"1829 erscheint eine zweite, erweiterte Fassung.",,,Werk
1822,1822,Kampagne in Frankreich 1792,,Mit seinen Erinnerungen an den Kriegszug mit Herzog Carl August legt Goethe einen weiteren Teil seiner Autobiographie vor.,,Wie schon die Italienische Reise ist das Buch Jahrzehnte nach den Ereignissen geschrieben.,,,Werk
1823,1823,Marienbader Elegie,,"Als die neunzehnjährige Ulrike von Levezow Goethes Heiratsantrag zurückweist, schreibt er aus Enttäuschung dieses Gedicht.",,"Die erste Fassung schreibt Goethe in einen Taschenkalender, weil er in der Kutsche kein anderes Schreibpapier hat.",,,Werk
1826,1826,Ausgabe letzter Hand,,"Mit einem ganzen Team von Mitarbeitern beginnt Goethe mit der Arbeit an einer definitiven Werkausgabe, die auch viele unveröffentlichte Texte enthält.",,"Bis 1830 erscheinen 40 Bände; dazu kommen 20 weitere mit ""Nachgelassenenen Schriften"" nach Goethes Tod.",,,Werk
1828,1828,Novelle,,Goethes letzte wichtige Erzählung erscheint.,,"Sie gilt lange Zeit als das Musterbeispiel dafür, was die Gattung ""Novelle"" ausmacht.",,,Werk
